r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
2.0399999999999999e-01,2.1786215680927659e-01,2.2842966236326692e-01
2.0499999999999999e-01,2.1849054550035282e-01,2.2916402720217119e-01
2.0599999999999999e-01,2.1911520117909000e-01,2.2989521891506773e-01
2.0699999999999999e-01,2.1973614861567581e-01,2.3062326288671306e-01
2.0799999999999999e-01,2.2035341230303140e-01,2.3134818422771755e-01
2.0899999999999999e-01,2.2096701646010986e-01,2.3207000777784242e-01
2.0999999999999999e-01,2.2157698503515455e-01,2.3278875810926594e-01
2.1099999999999999e-01,2.2218334170891979e-01,2.3350445952981932e-01
2.1199999999999999e-01,2.2278610989785519e-01,2.3421713608619099e-01
2.1299999999999999e-01,2.2338531275725174e-01,2.3492681156709935e-01
2.1400000000000000e-01,2.2398097318436089e-01,2.3563350950643358e-01
2.1500000000000000e-01,2.2457311382148168e-01,2.3633725318636248e-01
2.1600000000000000e-01,2.2516175705902416e-01,2.3703806564041052e-01
2.1700000000000000e-01,2.2574692503854463e-01,2.3773596965650159e-01
2.1800000000000000e-01,2.2632863965575972e-01,2.3843098777996966e-01
2.1900000000000000e-01,2.2690692256353198e-01,2.3912314231653706e-01
2.2000000000000000e-01,2.2748179517482758e-01,2.3981245533525913e-01
2.2100000000000000e-01,2.2805327866564254e-01,2.4049894867143670e-01
2.2200000000000000e-01,2.2862139397789324e-01,2.4118264392949471e-01
2.2300000000000000e-01,2.2918616182226828e-01,2.4186356248582844e-01
2.2400000000000000e-01,2.2974760268104322e-01,2.4254172549161648e-01
2.2500000000000001e-01,2.3030573681085079e-01,2.4321715387560103e-01
2.2600000000000001e-01,2.3086058424541292e-01,2.4388986834683493e-01
2.2700000000000001e-01,2.3141216479823393e-01,2.4455988939739665e-01
2.2800000000000001e-01,2.3196049806525837e-01,2.4522723730507198e-01
2.2900000000000001e-01,2.3250560342749604e-01,2.4589193213600383e-01
2.3000000000000001e-01,2.3304750005361921e-01,2.4655399374730932e-01
2.3100000000000001e-01,2.3358620690253212e-01,2.4721344178966512e-01
2.3200000000000001e-01,2.3412174272591715e-01,2.4787029570986055e-01
2.3300000000000001e-01,2.3465412607075650e-01,2.4852457475331907e-01
2.3400000000000001e-01,2.3518337528182751e-01,2.4917629796658836e-01
2.3499999999999999e-01,2.3570950850417313e-01,2.4982548419979883e-01
2.3599999999999999e-01,2.3623254368554009e-01,2.5047215210909141e-01
2.3699999999999999e-01,2.3675249857878536e-01,2.5111632015901419e-01
2.3799999999999999e-01,2.3726939074424802e-01,2.5175800662488873e-01
2.3899999999999999e-01,2.3778323755208247e-01,2.5239722959514604e-01
2.3999999999999999e-01,2.3829405618455565e-01,2.5303400697363232e-01
2.4099999999999999e-01,2.3880186363830566e-01,2.5366835648188507e-01
2.4199999999999999e-01,2.3930667672656708e-01,2.5430029566137990e-01
2.4299999999999999e-01,2.3980851208136342e-01,2.5492984187574785e-01
2.4399999999999999e-01,2.4030738615567079e-01,2.5555701231296363e-01
2.4500000000000000e-01,2.4080331522555704e-01,2.5618182398750589e-01
2.4600000000000000e-01,2.4129631539229662e-01,2.5680429374248848e-01
2.4700000000000000e-01,2.4178640258446549e-01,2.5742443825176398e-01
