xi,D_torus,D_infinite
3.5399999999999998e-01,2.5502981082969036e+00,2.2889911209403127e+00
3.5499999999999998e-01,2.5529854393466720e+00,2.2901194716039157e+00
3.5599999999999998e-01,2.5556742353405317e+00,2.2912421513138002e+00
3.5699999999999998e-01,2.5583645764971905e+00,2.2923592027160216e+00
3.5799999999999998e-01,2.5610565428993057e+00,2.2934706680456074e+00
3.5899999999999999e-01,2.5637502145006437e+00,2.2945765891312346e+00
3.5999999999999999e-01,2.5664456711331982e+00,2.2956770073998416e+00
3.6099999999999999e-01,2.5691429925142795e+00,2.2967719638811861e+00
3.6199999999999999e-01,2.5718422582535769e+00,2.2978614992123432e+00
3.6299999999999999e-01,2.5745435478601983e+00,2.2989456536421500e+00
3.6399999999999999e-01,2.5772469407496628e+00,2.3000244670355916e+00
3.6499999999999999e-01,2.5799525162508914e+00,2.3010979788781314e+00
3.6599999999999999e-01,2.5826603536131554e+00,2.3021662282799920e+00
3.6699999999999999e-01,2.5853705320130067e+00,2.3032292539803758e+00
3.6799999999999999e-01,2.5880831305611869e+00,2.3042870943516389e+00
3.6899999999999999e-01,2.5907982283095095e+00,2.3053397874034083e+00
3.7000000000000000e-01,2.5935159042577238e+00,2.3063873707866476e+00
3.7100000000000000e-01,2.5962362373603556e+00,2.3074298817976766e+00
3.7200000000000000e-01,2.5989593065335383e+00,2.3084673573821353e+00
3.7300000000000000e-01,2.6016851906618128e+00,2.3094998341388999e+00
3.7400000000000000e-01,2.6044139686049181e+00,2.3105273483239506e+00
3.7500000000000000e-01,2.6071457192045688e+00,2.3115499358541931e+00
3.7600000000000000e-01,2.6098805212912080e+00,2.3125676323112261e+00
3.7700000000000000e-01,2.6126184536907546e+00,2.3135804729450693e+00
3.7800000000000000e-01,2.6153595952313387e+00,2.3145884926778391e+00
3.7900000000000000e-01,2.6181040247500151e+00,2.3155917261073835e+00
3.8000000000000000e-01,2.6208518210994751e+00,2.3165902075108660e+00
3.8100000000000001e-01,2.6236030631547496e+00,2.3175839708483110e+00
3.8200000000000001e-01,2.6263578298198955e+00,2.3185730497661003e+00
3.8300000000000001e-01,2.6291162000346788e+00,2.3195574776004304e+00
3.8400000000000001e-01,2.6318782527812550e+00,2.3205372873807217e+00
3.8500000000000001e-01,2.6346440670908327e+00,2.3215125118329913e+00
3.8600000000000001e-01,2.6374137220503453e+00,2.3224831833831785e+00
